mmsi,brokenCount,count,judgedBrokenDT
249644000,0,0,0
441935000,0,0,0
352165000,0,0,0
538004654,0,0,0
305131000,0,0,0
538006146,0,0,0
667003053,0,0,0
431601546,0,0,0
212289000,0,0,0
431400588,0,0,0
440162000,0,0,0
432723000,0,0,0
431000568,0,0,0
373446000,0,0,0
431004976,0,0,0
431002306,0,0,0
538005226,0,0,0
431601677,0,0,0
431004417,0,0,0
431005643,0,0,0
440993000,0,0,0
565629000,0,0,0
373418000,0,0,0
432995000,0,0,0
441158000,0,0,0
370434000,0,0,0
355179000,0,0,0
431003009,0,0,0
311594000,0,0,0
431601989,0,0,0
413364020,0,0,0
477698400,0,0,0
564211000,0,0,0
357611000,0,0,0
432938000,0,0,0
533808000,0,0,0
431004751,0,0,0
431002005,0,0,0
431601056,0,0,0
636091279,0,0,0
431301549,0,0,0
636013121,0,0,0
566104000,0,0,0
564993000,0,0,0
565385000,0,0,0
431005389,0,0,0
538004740,0,0,0
209863000,0,0,0
431006221,0,0,0
311004400,0,0,0
431800035,0,0,0
353349000,0,0,0
355662000,0,0,0
371263000,0,0,0
370391000,0,0,0
431319000,0,0,0
356768000,0,0,0
431601454,0,0,0
431005098,0,0,0
477397500,0,0,0
431600639,0,0,0
319913000,0,0,0
236546000,0,0,0
636015131,0,0,0
431200703,0,0,0
440068000,0,0,0
431005904,0,0,0
431400924,0,0,0
477016600,0,0,0
353892000,0,0,0
431005207,0,0,0
372995000,0,0,0
440505000,0,0,0
355131000,0,0,0
370118000,0,0,0
431300462,0,0,0
431680222,0,0,0
352608000,0,0,0
431600459,0,0,0
431400992,0,0,0
431153000,0,0,0
372402000,0,0,0
440244000,0,0,0
431200516,0,0,0
432915000,0,0,0
636014129,0,0,0
371862000,0,0,0
431601235,0,0,0
431004469,0,0,0
431006711,0,0,0
431300065,0,0,0
431400918,0,0,0
533000996,0,0,0
431901000,0,0,0
431005844,0,0,0
431006394,0,0,0
431002209,0,0,0
431602345,0,0,0
431600621,0,0,0
636092387,0,0,0
431586000,0,0,0
431700137,0,0,0
431000224,0,0,0
356570000,0,0,0
636091083,0,0,0
565126000,0,0,0
354051000,0,0,0
515918000,0,0,0
311691000,0,0,0
440738000,0,0,0
477585300,0,0,0
477738300,0,0,0
412076010,0,0,0
431400021,0,0,0
432294000,0,0,0
564095000,0,0,0
351376000,0,0,0
440107000,0,0,0
257014000,0,0,0
373559000,0,0,0
431501774,0,0,0
431000221,0,0,0
431601158,0,0,0
413357420,0,0,0
371523000,0,0,0
477203700,0,0,0
431301121,0,0,0
431301684,0,0,0
431602082,0,0,0
563491000,0,0,0
636092198,0,0,0
565131000,0,0,0
308372000,0,0,0
441544000,0,0,0
431174000,0,0,0
431002936,0,0,0
431002286,0,0,0
431005885,0,0,0
431000548,0,0,0
477006600,0,0,0
636091745,0,0,0
477815800,0,0,0
431003061,0,0,0
431005421,0,0,0
636015611,0,0,0
351246000,0,0,0
431602153,0,0,0
372522000,0,0,0
431000326,0,0,0
538003221,0,0,0
354464000,0,0,0
431501706,0,1,0
355708000,0,0,0
431004022,0,0,0
636012069,0,0,0
431600252,0,0,0
431001288,0,0,0
431000687,0,0,0
353465000,0,0,0
431000479,0,0,0
431500784,0,0,0
431003458,0,1,0
538005491,0,0,0
431100325,0,0,0
441036000,0,0,0
431100922,0,0,0
431501723,1,0,40912
431000355,0,0,0
431400063,0,1,0
235089789,0,0,0
440072000,0,0,0
538005856,0,0,0
354077000,0,0,0
431005527,0,2,0
431500058,0,1,0
431036000,0,3,0
431300334,0,1,0
372609000,0,0,0
370441000,0,0,0
529138000,0,0,0
431501886,0,0,0
311019100,0,0,0
266261000,0,0,0
431006000,0,0,0
305354000,0,0,0
431700585,0,0,0
431401993,0,0,0
441447000,0,0,0
372827000,0,0,0
431000263,0,1,0
431401796,0,1,0
431003614,0,0,0
477767500,0,0,0
431001837,0,0,0
431300458,0,0,0
431000875,0,3,0
356626000,0,0,0
440970000,0,0,0
431000823,0,0,0
431005666,0,4,0
636010544,0,0,0
431101175,0,0,0
431301428,0,3,0
431000828,0,0,0
351593000,0,0,0
356809000,0,0,0
339300770,0,0,0
441107000,0,0,0
514122000,0,0,0
431005428,0,0,0
431600182,0,0,0
431100939,0,1,0
431000976,0,0,0
432812000,0,1,0
431300221,0,0,0
431002799,0,0,0
431301612,2,1,40913
431003941,0,2,0
432667000,0,0,0
566624000,0,0,0
477241600,0,0,0
235080906,0,0,0
440032000,0,0,0
431005055,0,0,0
431101054,0,1,0
431300084,0,0,0
432340000,0,0,0
431500761,2,3,40912
370508000,0,0,0
538006256,0,0,0
431006179,0,1,0
431006474,0,1,0
304788000,0,0,0
441178000,0,15,0
515838000,0,6,0
370220000,0,9,0
548845000,0,10,0
538003535,0,3,0
431400389,0,2,0
431500789,0,0,0
431100297,0,2,0
431100109,1,2,40912
431501856,0,4,0
440037000,0,0,0
431401272,0,0,0
309806000,0,0,0
431400282,0,0,0
431602206,1,10,40912
353618000,0,0,0
440056000,0,9,0
431400325,0,7,0
477105800,0,0,0
431001006,0,1,0
431400515,0,4,0
431500465,0,0,0
431100332,0,0,0
477423800,0,0,0
305900000,0,0,0
352236000,0,0,0
431500427,0,0,0
431001416,0,0,0
567408000,0,8,0
431004247,0,3,0
431005138,0,1,0
431006606,0,2,0
431100005,0,6,0
431400344,0,7,0
311655000,0,1,0
246766000,0,0,0
431001374,0,4,0
564902000,0,0,0
247109000,0,0,0
311935000,0,0,0
431003715,0,0,0
431600932,0,0,0
477612900,0,13,0
431000767,0,10,0
431601243,1,4,40912
431402001,0,4,0
431501666,0,5,0
431000731,0,1,0
431002022,0,7,0
440098000,0,0,0
431575000,0,0,0
636091420,0,0,0
431003033,0,0,0
431004901,0,0,0
371877000,0,4,0
431501735,0,4,0
431500344,1,7,40912
431401987,1,8,40912
431602343,0,7,0
431003159,0,0,0
431301018,0,2,0
440337000,0,10,0
431501748,0,0,0
538003274,0,0,0
319013600,0,0,0
431600422,0,0,0
431000581,0,1,0
431005211,0,0,0
210296000,0,6,0
431501816,1,9,40912
431005422,0,3,0
431501664,0,0,0
